"browser","language","benchmark","avg_energy"
"chrome","rust","mandelbrot",2.377180068
"chrome","rust","mandelbrot",2.157938981
"chrome","rust","mandelbrot",2.065706884
"chrome","rust","mandelbrot",3.6073945845
"firefox","rust","mandelbrot",3.9371977815
"firefox","rust","mandelbrot",3.763566856
"firefox","rust","mandelbrot",3.7822454845
"firefox","rust","mandelbrot",5.800231427
"firefox","rust","mandelbrot",3.8007113685
"firefox","rust","mandelbrot",4.1503602455
"firefox","rust","mandelbrot",4.1818007555
"firefox","rust","mandelbrot",3.833070625
"firefox","rust","mandelbrot",3.166017881
"firefox","rust","mandelbrot",5.787696307
